Sr. No.,Name of Society,Address,State,District,Date of Registration,Area of Operation,Sector Type
64,Sharda Agro Multi State Cooperative Society Ltd,"Bhopal, Madhya Pradesh",MADHYA PRADESH,BHOPAL,14/12/2020,"Haryana, Delhi, UttarPradesh, ",Agro
65,"N E Railway Cooperative Credit Society Ltd,","Chief Worshop Manager Office, NE Railway, Izzatnagar, Bareilly, Uttar Pradesh",UTTAR PRADESH,BAREILLY,24/11/2020,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Credit
66,Ramraja Multi state Agro Cooperative Society ltd.,"102, Eligent Tower, Royal City, Shivpuri Road, Jhansi, 284003 Uttar Pradesh",UTTAR PRADESH,JHANSI,12/11/2020,"Maharashtra, Gujarat, Rajasthan",Agro
67,Vitthal Rao Shinde Sahakari Sahkar Karkhana Ltd,"Gangamainagar, Post Pimpalner, Taluka Madha, Solapur, 413210 Maharashtra",MAHARASHTRA,SOLAPUR,05/11/2020,"Haryana, Punjab, Rajasthan",Industrial/Textile
68,Ambika Multi State Health Service for the Weaker Section Cooperative Society Ltd,"Sai Illam, Floor-2, 53/2, Bharatheshwarar,
3rd Street, Kodambakkam, Chennai 600024, Tamil Nadu",TAMIL NADU,CHENNAI,14/09/2020,"Haryana, Rajasthan",Agro
69,The UP Kisan Development cooperative Society Ltd,"65, Bheem Nagar, Vijay Khand 2, Gomti Nagar, Lucknow-226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,10/08/2020,"Gujarat, Rajasthan, Haryana, Delhi",Agro
70,Farmtrade Agro Multi state Marketing Cooperative Ltd,"B-92. Mayfiels Garden Sector 48, Gurugram- 122002",HARYANA,GURGAON,10/08/2020,"Kerala, karnataka, Maharashtra, Gujarat",Marketing
71,Bihar State handloom Weavers Cooperative Union Ltd (BISHCOTEX),"Handloom Bhawan, Rajendra Place, Patna, Bihar",BIHAR,PATNA,14/07/2020,"Maharashtra, Karnataka, Tamil nadu",Agro
72,Radhika Agricultural Cooperative Society Ltd,"Swami Puran Colony, Nai Basti, Jhansi 284002, Uttar Pradesh",UTTAR PRADESH,JHANSI,24/04/2020,"Haryana, Gujarat, Maharashtra, Delhi",Agro
,,,,,,"West bengal, Andhra Pradesh",
,,,,,,"Maharashtra, Gujarat, Rajasthan",
